,region,accumulation,G
1060,2,5386,3.8
1061,2,5424,2.2
1062,2,5462,3.5
1063,2,5477,1.4
1064,2,5500,2.8
1065,2,5502,3.8
1066,2,5495,2.9
1067,2,5495,2.0
1068,2,5507,2.8
1069,2,5509,3.9
1070,2,5506,2.6
1071,2,5544,3.9
1072,2,5586,1.7
1073,2,5617,2.2
1074,2,5633,3.9
1075,2,5621,2.1
1076,2,5636,2.0
1077,2,5641,3.5
1078,2,5631,3.1
1079,2,5622,2.4
1080,3,113,0.0
1081,3,117,0.4
1082,3,142,0.2
1083,3,169,0.1
1084,3,203,0.2
1085,3,245,0.8
1086,3,290,0.6
1087,3,336,1.3
1088,3,359,0.7
1089,3,393,0.4
1090,3,433,1.8
1091,3,469,1.5
1092,3,507,2.5
1093,3,532,0.8
1094,3,568,1.0
1095,3,605,1.7
1096,3,627,2.1
1097,3,663,3.0
1098,3,676,2.2
1099,3,695,1.6
1100,3,734,1.7
1101,3,771,3.7
1102,3,790,3.5
1103,3,801,1.6
1104,3,830,2.8
1105,3,856,1.1
1106,3,890,1.3
1107,3,920,4.7
1108,3,930,2.6
1109,3,956,1.4
1110,3,991,3.3
1111,3,1009,3.8
1112,3,1024,5.0
1113,3,1040,4.2
1114,3,1055,1.6
1115,3,1082,1.8
1116,3,1106,1.3
1117,3,1149,4.1
1118,3,1169,2.8
1119,3,1193,2.1
1120,3,1223,3.1
1121,3,1238,4.3
1122,3,1252,6.7
1123,3,1249,5.8
1124,3,1253,4.4
1125,3,1254,2.1
1126,3,1287,1.0
1127,3,1332,3.2
1128,3,1356,4.2
1129,3,1370,2.1
1130,3,1406,2.8
1131,3,1436,3.4
1132,3,1449,5.0
1133,3,1441,6.7
1134,3,1441,4.0
1135,3,1459,2.4
1136,3,1488,1.3
1137,3,1526,3.5
1138,3,1534,4.5
1139,3,1554,2.9
1140,3,1580,2.8
1141,3,1617,4.7
1142,3,1630,4.3
1143,3,1632,5.9
1144,3,1634,4.3
1145,3,1653,3.6
1146,3,1689,2.4
1147,3,1711,5.5
1148,3,1711,3.7
1149,3,1731,3.3
1150,3,1756,3.2
1151,3,1797,4.8
1152,3,1798,4.1
1153,3,1806,4.8
1154,3,1809,3.8
1155,3,1837,4.3
1156,3,1877,2.4
1157,3,1900,2.8
1158,3,1929,2.9
1159,3,1941,3.6
1160,3,1964,3.9
1161,3,1993,4.3
1162,3,2003,4.7
1163,3,2019,4.0
1164,3,2039,5.0
1165,3,2053,4.7
1166,3,2077,3.5
1167,3,2112,4.2
1168,3,2110,2.8
1169,3,2134,2.5
1170,3,2142,4.5
1171,3,2174,3.2
1172,3,2203,4.2
1173,3,2219,4.3
1174,3,2223,3.6
1175,3,2253,4.5
1176,3,2274,4.5
1177,3,2303,4.4
1178,3,2315,4.2
1179,3,2320,3.8
1180,3,2325,4.4
1181,3,2343,4.1
1182,3,2364,3.5
1183,3,2382,4.7
1184,3,2378,2.9
1185,3,2406,4.4
1186,3,2434,3.3
1187,3,2463,5.0
1188,3,2468,3.5
1189,3,2483,3.0
1190,3,2497,3.6
1191,3,2521,4.8
1192,3,2523,4.8
1193,3,2527,4.6
1194,3,2534,3.6
1195,3,2546,4.3
1196,3,2563,2.9
1197,3,2602,5.0
1198,3,2617,3.7
1199,3,2626,2.2
1200,3,2633,3.0
1201,3,2666,3.4
1202,3,2693,5.5
1203,3,2695,5.6
1204,3,2696,3.7
1205,3,2709,2.6
1206,3,2734,2.5
1207,3,2780,4.3
1208,3,2799,4.2
1209,3,2828,3.0
1210,3,2857,2.8
1211,3,2879,5.3
1212,3,2880,4.6
1213,3,2894,4.8
1214,3,2893,3.0
1215,3,2914,4.1
1216,3,2938,1.8
1217,3,2968,4.5
1218,3,2987,4.4
1219,3,3008,3.2
1220,3,3027,3.2
1221,3,3052,3.3
1222,3,3066,5.1
1223,3,3072,7.1
1224,3,3044,4.5
1225,3,3052,1.4
1226,3,3090,0.4
1227,3,3141,4.1
1228,3,3167,4.0
1229,3,3197,4.8
1230,3,3208,2.4
1231,3,3256,2.7
1232,3,3283,5.3
1233,3,3282,7.1
1234,3,3260,3.8
1235,3,3272,2.5
1236,3,3309,1.5
1237,3,3344,3.9
1238,3,3359,4.6
1239,3,3378,4.5
1240,3,3396,2.6
1241,3,3431,3.9
1242,3,3430,4.4
1243,3,3438,5.4
1244,3,3438,3.3
1245,3,3466,2.4
1246,3,3501,1.4
1247,3,3535,2.7
1248,3,3554,4.5
1249,3,3571,3.6
1250,3,3596,3.9
1251,3,3629,3.1
1252,3,3655,4.3
1253,3,3655,5.0
1254,3,3654,3.7
1255,3,3673,2.2
1256,3,3708,1.5
