flow,region,accumulation,G,CV
0.2,0,73,0.4,1.7842894199032127
0.2,0,74,0.3,1.8552174229396705
0.2,0,75,0.4,1.8371737220256925
0.2,0,75,0.3,1.9674290341500222
0.2,0,74,0.2,2.047649145463735
0.2,0,73,0.3,2.3273122781546065
0.2,0,77,0.2,1.9034557622093067
0.2,0,81,1.0,2.083354489216306
0.2,0,73,0.7,2.004176077342563
0.2,0,69,0.4,1.8532057509001676
0.2,0,68,0.4,2.047127574810126
0.2,0,70,0.0,2.185073797089427
0.2,0,76,0.4,1.9778747146855626
0.2,0,73,0.2,1.9107674728808117
0.2,0,74,0.2,1.8628574900684909
0.2,0,73,0.1,2.054207234885424
0.2,0,78,0.1,2.6469888383792686
0.2,0,80,1.5,2.3950190969563976
0.2,0,68,0.1,2.2497193342926596
0.2,0,74,0.1,2.218696038320092
0.2,0,75,0.6,2.078428811795106
0.2,0,74,0.2,1.8108426193625804
0.2,0,75,0.4,1.9540239182138237
0.2,0,77,0.2,1.9699601997889622
0.2,0,76,0.1,2.048072359251978
0.2,0,75,0.1,2.50007607675016
0.2,0,99,0.1,1.5980335115557038
0.2,0,101,1.0,1.7166826855782484
0.2,0,93,0.7,1.6806540138215205
0.2,0,89,0.6,2.061720948997392
0.2,0,84,0.2,1.8140177612127686
0.2,0,84,0.2,1.8238654397302734
0.2,0,84,0.5,1.5785796054092933
0.2,0,79,0.3,2.08921010986557
0.2,0,77,0.1,2.259778498980487
0.2,0,76,0.3,2.015024163493071
0.2,0,75,0.3,3.7214069389371267
0.2,0,73,0.7,2.3900789469796035
0.2,0,69,0.2,2.5050054107520423
0.2,0,70,0.0,2.1107761750091396
0.2,0,71,0.1,2.2491414183475373
0.2,0,73,0.3,1.9300427260381052
0.2,0,70,0.9,2.019552306943089
0.2,0,62,0.5,2.0747937337696705
0.2,0,59,0.1,1.8943247888514922
0.2,0,58,0.4,2.0679069591943784
0.2,0,59,0.1,2.249190459296595
0.2,0,62,1.1,2.32148381231427
0.2,0,54,0.2,2.5472546873697284
0.2,0,53,0.0,2.7247680632706603
0.2,0,54,0.8,2.595095196146728
0.2,0,48,0.2,2.5234231996203578
0.2,0,48,0.1,2.7605884435613053
0.2,0,51,0.2,2.41028588667418
0.2,0,50,0.1,2.23382918439355
0.2,0,50,0.4,2.3482789916160924
0.2,0,52,0.3,2.3202158463281433
0.2,0,50,0.8,2.7065623628234863
0.2,0,43,0.0,2.596333456205686
0.2,0,43,0.1,2.2315030154091793
0.2,0,44,0.2,2.2960567698787693
0.2,0,44,0.3,2.348859539990186
0.2,0,47,0.1,2.264268640931456
0.2,0,48,0.2,2.278498580862287
0.2,0,48,0.0,2.2953175508363177
0.2,0,48,0.4,2.278914523756025
0.2,0,46,0.3,3.4580307943136157
0.2,0,47,0.6,2.7205121755909167
0.2,0,43,0.2,2.455787570068922
0.2,0,42,0.1,2.7411123244541735
0.2,0,41,0.2,2.9345462143102194
0.2,0,50,0.1,2.268890477740648
0.2,0,49,0.5,2.332014457569608
0.2,0,44,0.1,2.256397937785359
0.2,0,47,0.4,2.29950453854897
0.2,0,45,0.0,2.6067497529780557
0.2,0,47,0.0,3.088667551700201
0.2,0,48,0.3,2.633913787146158
0.2,0,46,0.0,2.26933352931229
0.2,0,49,0.2,2.3557142867048153
0.2,0,49,0.1,2.37566615915365
0.2,0,51,0.0,2.2918237787549653
0.2,0,51,0.2,2.3127101147685893
0.2,0,50,0.4,2.850517159996043
0.2,0,46,0.1,2.8925548849719296
0.2,0,45,0.2,2.747226295298726
0.2,0,48,0.4,2.5665752183422073
0.2,0,45,0.4,2.712427521674445
0.2,0,42,0.2,2.6812803410143435
0.2,0,41,0.0,2.9104334305421973
0.2,0,41,0.3,2.901600928836298
0.2,0,38,0.1,2.5404740225298568
0.2,0,37,0.3,2.7390043872742957
0.2,0,38,0.2,2.8527551881678748
0.2,0,38,0.0,2.759464996733288
0.2,0,38,0.1,3.2457688357386925
0.2,0,40,0.4,3.0853747485797807
0.2,0,38,0.6,2.992146290238716
0.2,0,37,0.0,2.436986105646258
0.2,0,40,0.1,2.8637765481571584
0.2,0,41,0.2,2.3744355012594363
0.2,0,42,0.2,2.6892677566891274
0.2,0,42,0.5,3.230120288827411
0.2,0,42,0.1,2.512905540022811
0.2,0,41,0.0,2.67146138196202
0.2,0,41,0.1,2.6404449523391653
0.2,0,46,0.0,2.5303062186684064
0.2,0,47,0.8,2.760389327518524
0.2,0,41,0.1,2.796891341355785
0.2,0,43,0.5,2.3426214026753533
0.2,0,42,0.1,2.8628371548411864
0.2,0,44,0.0,2.5471320555814456
0.2,0,45,0.0,2.4508289491751363
0.2,0,47,0.3,2.4070674984071507
0.2,0,44,0.1,3.2959845380329034
0.2,0,43,0.0,2.932769602559041
0.2,0,57,0.1,2.0647564477432283
0.2,0,56,0.9,2.0815352434655527
0.2,0,48,0.0,2.1617605264704496
0.2,0,48,0.1,2.4442603228245865
0.2,0,48,0.1,2.1729696353638044
0.2,0,48,0.2,2.36755964871047
0.2,0,47,0.5,2.195169412217899
0.2,0,45,0.1,2.3670898517904995
0.2,0,45,0.0,2.244215984872214
0.2,0,47,0.2,2.8412395394773338
0.2,0,48,0.1,2.8774017587539533
0.2,0,48,1.0,2.85324979879696
0.2,0,42,0.3,3.0605344751431756
0.2,0,39,0.0,2.4770285483085215
0.2,0,39,0.0,2.7113533932423097
0.2,0,43,0.1,2.5525613341031064
0.2,0,42,0.1,2.722966136075585
0.2,0,42,0.3,2.663644464782934
0.2,0,42,0.1,2.9405340882304136
0.2,0,42,0.1,2.637537374853557
0.2,0,42,0.0,2.9147672332720997
0.2,0,44,0.6,2.452602827724712
0.2,0,44,0.0,2.3841502419397997
0.2,0,44,0.1,2.3799769166921543
0.2,0,46,0.1,2.527261096629123
0.2,0,46,0.2,2.5100549938826497
0.2,0,45,0.4,2.66379802506144
0.2,0,44,0.0,2.4756239911137574
0.2,0,44,0.0,2.5870713054800394
0.2,0,45,0.0,2.685542513244023
0.2,0,52,0.1,3.8802447227570602
0.2,0,51,0.3,2.5270449242251196
0.2,0,49,0.2,2.9979125675185387
0.2,0,48,0.0,2.845869848106839
0.2,0,49,0.3,2.877684319392184
0.2,0,46,0.1,2.485297036891987
0.2,0,46,0.5,2.833716399923637
0.2,0,43,0.1,2.666420530761785
0.2,0,45,0.0,2.4576697532901157
0.2,0,46,0.4,2.496362937018222
0.2,0,42,0.1,3.3853676245329125
